date,code,close,volume,pe,industry
2020-08-12,603259,83.5189604,18718593,103.283916,主板-沪
2020-08-13,603259,81.97330488,12064893,101.372478,主板-沪
2020-08-14,603259,82.54718688,20930039,102.082169,主板-沪
2020-08-17,603259,81.80496616,16393874,101.1643,主板-沪
2020-08-18,603259,83.46539808,14456207,103.217677,主板-沪
2020-08-19,603259,81.32290528,9587741,100.530211,主板-沪
2020-08-20,603259,80.73371976,11612576,99.801868,主板-沪
2020-08-21,603259,80.726068,9845373,99.792409,主板-沪
2020-08-24,603259,80.71841624,12552814,99.78295,主板-沪
2020-08-25,603259,81.48359224,11587567,100.72885,主板-沪
2020-08-26,603259,81.7973144,19322261,101.116668,主板-沪
2020-08-27,603259,82.8685608,12007202,102.440928,主板-沪
2020-08-28,603259,84.934536,22578633,104.994857,主板-沪
2020-08-31,603259,84.10049416,19192977,103.963826,主板-沪
2020-09-01,603259,82.39415168,17786110,101.85447,主板-沪
2020-09-02,603259,84.08519064,19985762,103.944908,主板-沪
2020-09-03,603259,82.73848088,23788594,102.280125,主板-沪
2020-09-04,603259,80.51181872,18524369,99.527557,主板-沪
2020-09-07,603259,76.86958096,16270412,95.025075,主板-沪
2020-09-08,603259,77.19095488,13381022,95.422353,主板-沪
2020-09-09,603259,75.12497968,11791597,92.868424,主板-沪
2020-09-10,603259,74.90307864,14182656,92.594113,主板-沪
2020-09-11,603259,75.1402832,9417440,92.887342,主板-沪
2020-09-14,603259,74.6811776,13614958,92.319802,主板-沪
2020-09-15,603259,75.5228712,10876080,93.360292,主板-沪
2020-09-16,603259,74.4516248,11188913,92.036032,主板-沪
2020-09-17,603259,72.90596928,15898063,90.125315,主板-沪
2020-09-18,603259,73.90069808,13159160,91.369702,主板-沪
2020-09-21,603259,72.85240696,10323013,90.073611,主板-沪
2020-09-22,603259,72.71467528,11049539,89.903321,主板-沪
2020-09-23,603259,74.987248,16277721,92.71554,主板-沪
2020-09-24,603259,74.09964384,10366604,91.61809,主板-沪
2020-09-25,603259,74.96429272,18376693,95.129266,主板-沪
2020-09-28,603259,73.9160016,10838618,93.798991,主板-沪
2020-09-29,603259,76.9767056,17013055,97.683007,主板-沪
2020-09-30,603259,77.665364,13395937,98.556911,主板-沪
2020-10-09,603259,79.34109944,11683590,100.68341,主板-沪
2020-10-12,603259,82.4859728,15529901,104.674236,主板-沪
2020-10-13,603259,83.404184,10051021,105.839441,主板-沪
2020-10-14,603259,83.04455128,11625248,105.383069,主板-沪
2020-10-15,603259,83.64138856,9227163,106.140452,主板-沪
2020-10-16,603259,82.95273016,9311809,105.266549,主板-沪
2020-10-19,603259,80.7643268,13397601,102.489477,主板-沪
2020-10-20,603259,82.50892808,9906787,104.703366,主板-沪
2020-10-21,603259,82.87621256,9026763,105.169448,主板-沪
2020-10-22,603259,82.91447136,8298503,105.217998,主板-沪
2020-10-23,603259,79.71603568,13900188,101.159202,主板-沪
2020-10-26,603259,80.09862368,9616750,101.644704,主板-沪
2020-10-27,603259,83.0598548,12875971,105.402489,主板-沪
2020-10-28,603259,83.8632896,14067639,106.422044,主板-沪
2020-10-29,603259,86.273594,16344026,109.480706,主板-沪
2020-10-30,603259,86.25063872,19756077,111.998125,主板-沪
2020-11-02,603259,87.3065816,16300510,113.369287,主板-沪
2020-11-03,603259,87.0005112,12652427,112.971848,主板-沪
2020-11-04,603259,88.0334988,11092727,114.313203,主板-沪
2020-11-05,603259,89.4490744,14237130,116.151355,主板-沪
2020-11-06,603259,89.07413816,11791113,115.664493,主板-沪
2020-11-09,603259,91.4002732,18363233,118.685025,主板-沪
2020-11-10,603259,92.05832456,14103648,119.539517,主板-沪
2020-11-11,603259,87.89576712,16919973,114.134356,主板-沪
2020-11-12,603259,89.6786272,10798887,116.449434,主板-沪
2020-11-13,603259,90.0612152,10769843,116.946232,主板-沪
2020-11-16,603259,92.4715196,9792364,120.076059,主板-沪
2020-11-17,603259,89.15065576,10980730,115.763853,主板-沪
2020-11-18,603259,81.00918312,34613482,105.191993,主板-沪
2020-11-19,603259,81.84322496,17304267,106.275012,主板-沪
2020-11-20,603259,83.4807016,8895095,108.401308,主板-沪
2020-11-23,603259,82.25642,11335990,106.811554,主板-沪
2020-11-24,603259,80.37408704,13275600,104.367308,主板-沪
2020-11-25,603259,78.2009872,17983980,101.545496,主板-沪
2020-11-26,603259,78.813128,9533006,102.340373,主板-沪
2020-11-27,603259,78.68304808,10434945,102.171462,主板-沪
2020-11-30,603259,79.06563608,20993550,102.66826,主板-沪
2020-12-01,603259,83.00629248,21842010,107.785278,主板-沪
2020-12-02,603259,82.6772668,8873141,107.358032,主板-沪
2020-12-03,603259,84.22292232,13618862,109.365096,主板-沪
2020-12-04,603259,84.91158072,12545445,110.259332,主板-沪
2020-12-07,603259,84.95749128,13631612,110.318948,主板-沪
2020-12-08,603259,84.8580184,12690317,110.18978,主板-沪
2020-12-09,603259,83.26645232,10445232,108.123101,主板-沪
2020-12-10,603259,83.90920016,10609081,108.957721,主板-沪
2020-12-11,603259,83.404184,12741530,108.301948,主板-沪
2020-12-14,603259,86.6179232,13458100,112.475051,主板-沪
2020-12-15,603259,88.6838984,19013920,115.157759,主板-沪
2020-12-16,603259,90.37493736,14855432,117.353606,主板-沪
2020-12-17,603259,94.116648,23848633,122.195474,主板-沪
2020-12-18,603259,93.1984368,10724767,121.003323,主板-沪
2020-12-21,603259,94.44567368,14247170,122.622662,主板-沪
